_title_norm,title,num_editions,edition_list
elements of mechanical engineering,Elements of Mechanical Engineering,3,['1st' '1st ed.' '']
elements of mercantile law,Elements of Mercantile Law,2,['1st' '1st ed.']
elements of numerical analysis,Elements of Numerical Analysis,2,['1st ed.' '']
elements of partial differential equations,Elements of partial differential equations,2,['1st' '']
elements of strength of materials,Elements of Strength of Materials,2,['5th ed.' '1st ed.']
elements of workshop technology vol.2,Elements of Workshop Technology vol.2,2,['1st' '11th']
eletromagnetic with application,Eletromagnetic with Application,2,['int' '5th']
embedded systems : architecture progr. & design,Embedded Systems : Architecture Progr. & Design,2,['7th' '1st ed.']
embedded systems: architecture programming & design,Embedded Systems: Architecture Programming & Design,3,['1st' '1st ed.' '']
embeded systems & robotics,Embeded Systems & Robotics,2,['1st ed.' '']
emissions from two stroke engines,Emissions from two stroke engines,2,['1st ed.' '']
encyclopedia of electronic circuits,Encyclopedia of Electronic Circuits,2,['1st ed.' '']
energy management,Energy Management,2,['1st ed.' '']
engineering chemistry,Engineering Chemistry,8,['3rd' '15th' '1st' '7th' '1st ed.' '' '2nd rep.' '3rd ed.']
engineering circuits analysis,Engineering Circuits Analysis,2,['6th' '7th']
engineering drawing,Engineering Drawing,5,['42th' '45th' '49th ed.' '11th' '1st ed.']
engineering drawing practice for school colleges:: sp46:2003,Engineering Drawing Practice for School Colleges:: SP46:2003,2,['1st ed.' '']
engineering economics,Engineering Economics,2,['1st ed.' '4th ed.']
engineering fluid mechanics,Engineering Fluid Mechanics,5,['1st' '1 rep.' 'rep.' '2nd ed.' '1st ed.']
engineering graphics with auto cad 2006,Engineering Graphics With Auto CAD 2006,2,['1st' '1st ed.']
engineering hydrology,Engineering Hydrology,2,['3rd ed.' '1st ed.']
engineering materials,Engineering Materials,3,['5th' '25th ed.' '1st ed.']
engineering mathematics,Engineering Mathematics,4,['2nd' '1st' '1st ed.' '3rd']
engineering mechanics,Engineering Mechanics,4,['5th' '3rd' '1st ed.' '']
engineering mechanics dynamics,Engineering Mechanics Dynamics,4,['5th' 'si ed' '6th ed.' '1st ed.']
engineering mechanics of solids,Engineering Mechanics of Solids,2,['2nd' '1st ed.']
engineering mechanics vol. 1: statics,Engineering Mechanics Vol. 1: Statics,2,['1st ed.' '']
engineering mechanics vol. 2: dynamics,Engineering Mechanics Vol. 2: Dynamics,2,['1st ed.' '']
engineering mechanics: statics and dynamic,Engineering Mechanics: Statics and Dynamic,4,['13 rep.' '13th ed.' '1st ed.' '']
engineering mechanics: statics and dynamics,Engineering Mechanics: Statics and Dynamics,2,['4th' '1st ed.']
engineering mechanics:: statics,Engineering Mechanics:: statics,2,['1st ed.' '']
engineering metallurgy,Engineering metallurgy,2,['6th ed.' '6th']
